2021-02-17 14:21:39.815 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
2021-02-17 14:21:39.822 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Parse Serilog for "C:\ProgramData\KUKALogging\Application\Application20210217.log" running.
2021-02-17 14:21:39.827 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Finished parsing Serilog "C:\ProgramData\KUKALogging\Application\Application20210217.log".
2021-02-17 14:22:11.050 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
2021-02-17 14:22:19.081 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Parse Serilog for "C:\ProgramData\KUKALogging\Application\Application20210217.log" running.
2021-02-17 14:22:28.122 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Finished parsing Serilog "C:\ProgramData\KUKALogging\Application\Application20210217.log".
2021-02-17 14:22:11.050 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
2021-02-17 14:22:19.081 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Parse Serilog for "C:\ProgramData\KUKALogging\Application\Application20210217.log" running.
2021-02-17 14:22:28.122 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Finished parsing Serilog "C:\ProgramData\KUKALogging\Application\Application20210217.log".
2021-02-17 14:22:11.050 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
2021-02-17 14:22:19.081 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Parse Serilog for "C:\ProgramData\KUKALogging\Application\Application20210217.log" running.
2021-02-17 14:22:28.122 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Finished parsing Serilog "C:\ProgramData\KUKALogging\Application\Application20210217.log".
2021-02-17 14:22:11.050 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
2021-02-17 14:22:19.081 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Parse Serilog for "C:\ProgramData\KUKALogging\Application\Application20210217.log" running.
2021-02-17 14:22:28.122 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Finished parsing Serilog "C:\ProgramData\KUKALogging\Application\Application20210217.log".
2021-02-17 14:22:11.050 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
2021-02-17 14:22:19.081 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Parse Serilog for "C:\ProgramData\KUKALogging\Application\Application20210217.log" running.
2021-02-17 14:22:28.122 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Finished parsing Serilog "C:\ProgramData\KUKALogging\Application\Application20210217.log".
2021-02-17 14:22:11.050 | Information | LAP000137 | KUKALogging.Classes.SerilogFileLog | Starting parse for "C:\ProgramData\KUKALogging\Application\Application20210217.log"
